id,type,category,name,translation,file,sounds,error,ini
2043,PACENOTE,ADJECTIVES,TIGHTENSLITTLE,Verengt Leicht,tightens_abit.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2044,PACENOTE,ADJECTIVES,TIGHTENSLONG,Verengt Spät,tightens_long.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2044,PACENOTE,ADJECTIVES,TIGHTENSLONG,Verengt Spät,tightens_long.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2045,PACENOTE,ADJECTIVES,TIGHTENSVERYLONG,Verengt Sehr Spät,tightens_verylong.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2045,PACENOTE,ADJECTIVES,TIGHTENSVERYLONG,Verengt Sehr Spät,tightens_verylong.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2046,PACENOTE,ADJECTIVES,TIGHTENSATJUNCTION,Verengt An Kreuzung,tightens_at_junction.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2046,PACENOTE,ADJECTIVES,TIGHTENSATJUNCTION,Verengt An Kreuzung,tightens_at_junction.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2047,PACENOTE,ADJECTIVES,TIGHTENSOVERCREST,Verengt Über Kuppe,tightens_overcrest.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2047,PACENOTE,ADJECTIVES,TIGHTENSOVERCREST,Verengt Über Kuppe,tightens_overcrest.ogg,2,,pacenotes/Rbr.ini/adjectives/Extended.ini
2048,PACENOTE,DRIVING,WALK,Schritt Fahren,walk.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/driving/Extended.ini
2048,PACENOTE,DRIVING,WALK,Schritt Fahren,walk.ogg,2,,pacenotes/Rbr.ini/driving/Extended.ini
2049,PACENOTE,DRIVING,NEAT,Vorsichtig,neat.ogg,2,,pacenotes/Rbr.ini/packages/Extended.ini/driving/Extended.ini
2049,PACENOTE,DRIVING,NEAT,Vorsichtig,neat.ogg,2,,pacenotes/Rbr.ini/driving/Extended.ini
2050,PACENOTE,CORNERS,FLATRIGHTMINUS,6 Rechts+,five_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2050,PACENOTE,CORNERS,FLATRIGHTMINUS,6 Rechts+,five_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2051,PACENOTE,CORNERS,QUICKRIGHT,5 Rechts+,four_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2051,PACENOTE,CORNERS,QUICKRIGHT,5 Rechts+,four_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2052,PACENOTE,CORNERS,EMRIGHT,4 Rechts+,three_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2052,PACENOTE,CORNERS,EMRIGHT,4 Rechts+,three_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
