id,type,name,translation,file,sounds,error,ini
-1,RANGE,500,,500.ogg,3,Not found: 500.ogg,Audio/Numbers.ini
-1,RANGE,500,,,3,Not found: ,Audio/Numbers.ini
-1,RANGE,500,,p500,3,Not found: p500,Audio/Numbers.ini
-1,PLACE,6,,sixth,1,Not found: sixth,Audio/Numbers.ini
-1,RANGE,60,,60.ogg,1,Not found: 60.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,Not found: 60.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,Not found: 60.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,60,,60.ogg,1,Not found: 60.ogg,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,,3,Not found: ,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,p600,3,Not found: p600,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,600,,,3,Not found: ,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,600,,p600,3,Not found: p600,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,,3,Not found: ,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,p600,3,Not found: p600,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,,3,Not found: ,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,p600,3,Not found: p600,ranges/Extended.ini/extended/Extended.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,600,,,3,Not found: ,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,600,,p600,3,Not found: p600,packages/Rbr.ini/rbr/Rbr.ini
-1,RANGE,600,,600.ogg,3,Not found: 600.ogg,Audio/Numbers.ini
-1,RANGE,600,,,3,Not found: ,Audio/Numbers.ini
-1,RANGE,600,,p600,3,Not found: p600,Audio/Numbers.ini
-1,PLACE,7,,seventh,1,Not found: seventh,Audio/Numbers.ini
-1,RANGE,70,,70.ogg,3,Not found: 70.ogg,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,70,,,3,Not found: ,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,70,,p70,3,Not found: p70,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,RANGE,70,,70.ogg,3,Not found: 70.ogg,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,70,,,3,Not found: ,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,70,,p70,3,Not found: p70,ranges/Rbr.ini/extended/Extended.ini
-1,RANGE,70,,70.ogg,3,Not found: 70.ogg,ranges/Extended.ini/packages/Extended.ini/extended/Extended.ini
