id,type,name,translation,file,sounds,ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,DONTCUT,Nicht Schneiden,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/line/Extended.ini
-1,PACENOTE,EMPTY_CALL,Leere Ansage,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,EMPTY_CALL,Leere Ansage,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,EMPTY_CALL,Leere Ansage,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,EMPTY_CALL,Leere Ansage,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,INTO,Hinein,into.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,INTO,Hinein,into.ogg,1,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,INTO,Hinein,into.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,INTO,Hinein,into.ogg,1,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr.ini/additional/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/additional/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,LONG,Lang,long.ogg,1,pacenotes/Rbr-Enhanced.ini/additional/Extended.ini
-1,PLACE,LOSTPLACES,,p1,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p2,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p3,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p4,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p5,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p6,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p7,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p8,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p9,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p10,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p11,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p12,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p13,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p14,15,Audio/NumOther.ini
-1,PLACE,LOSTPLACES,,p15,15,Audio/NumOther.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr.ini/additional/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/additional/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,MAYBE,Vielleicht,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/additional/Extended.ini
-1,PACENOTE,NARROWS,Verengung (Straße),narrows.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,NARROWS,Verengung (Straße),narrows.ogg,1,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,NARROWS,Verengung (Straße),narrows.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,NARROWS,Verengung (Straße),narrows.ogg,1,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,NUMBER,NUMBERS,,start1,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,start2,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,start3,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p4~,15,Audio/NumOther.ini
